MutationType	ID1	ID2	ID8	ID9	ID83B	ID83C
4:Del:R:1	0.00090050	0.00211579	0.00162295	0.00459422	0.00112399	0.00088086
4:Del:R:2	0.00000323	0.00054329	0.00027262	0.00089602	0.00000004	0.00001428
4:Del:R:3	0.00000000	0.00000727	0.00002880	0.00002380	0.00030803	0.89271477
4:Del:R:4	0.00000000	0.00000000	0.00009730	0.00000000	0.00000035	0.00000040
4:Del:R:5	0.00002890	0.00021041	0.00000634	0.00001370	0.00000035	0.00000040
5:Del:R:0	0.00000835	0.00003850	0.23797886	0.00077205	0.00720504	0.00000020
5:Del:R:1	0.00019068	0.00297751	0.00057226	0.00047955	0.00011608	0.00000000
5:Del:R:2	0.00012636	0.00039753	0.00051684	0.00026497	0.08580456	0.00020095
5:Del:R:3	0.00001890	0.00015815	0.00000816	0.00000612	0.00000029	0.00000017
5:Del:R:4	0.00000311	0.00008470	0.00011290	0.00000725	0.00000035	0.00000040
5:Del:R:5	0.00003130	0.00002120	0.00004430	0.00002990	0.00002094	0.00000027
2:Ins:R:0	0.00040204	0.00033185	0.00191671	0.00116234	0.00020292	0.00000000
2:Ins:R:1	0.00000788	0.00027166	0.00166182	0.00210019	0.00017609	0.00026586
2:Ins:R:2	0.00022135	0.00103534	0.00030459	0.00076094	0.00000008	0.00000000
2:Ins:R:3	0.00051427	0.00038133	0.00017758	0.00035163	0.00000000	0.00000000
2:Ins:R:4	0.00291310	0.00197742	0.00001660	0.00003070	0.00119558	0.00075402
2:Ins:R:5	0.01812158	0.01363338	0.00176438	0.00000000	0.00019257	0.00089105
3:Ins:R:0	0.00000031	0.00005780	0.00066786	0.00025457	0.00028730	0.00000013
3:Ins:R:1	0.00025469	0.00122705	0.00067172	0.00082336	0.00009605	0.00000000
3:Ins:R:2	0.00004410	0.00021007	0.00013577	0.00011826	0.00000035	0.00000040
3:Ins:R:3	0.00016670	0.00000302	0.00003790	0.00000518	0.00022271	0.00000016
3:Ins:R:4	0.00008890	0.00014181	0.00012204	0.00001610	0.00000033	0.00000003
3:Ins:R:5	0.00124870	0.00186471	0.00003660	0.00000000	0.00047017	0.00002751
4:Ins:R:0	0.00000000	0.00001680	0.00077776	0.00016439	0.00000005	0.00000004
4:Ins:R:1	0.00074438	0.00120373	0.00110390	0.00071557	0.00070428	0.00000000
4:Ins:R:2	0.00007550	0.00001220	0.00007990	0.00004240	0.00022807	0.00000003
4:Ins:R:3	0.00015754	0.00013417	0.00000858	0.00002150	0.00000035	0.00000040
4:Ins:R:4	0.00031965	0.00024939	0.00020551	0.00000000	0.00028508	0.00000013
4:Ins:R:5	0.00100132	0.00219354	0.00088523	0.00000218	0.00047236	0.00000001
5:Ins:R:0	0.00000000	0.00000000	0.00031833	0.00016585	0.00000000	0.00000004
5:Ins:R:1	0.00144313	0.00013566	0.00976111	0.00125400	0.00000000	0.00045836
5:Ins:R:2	0.00025483	0.00000553	0.00010115	0.00010285	0.00000012	0.00000014
5:Ins:R:3	0.00023709	0.00009770	0.00007090	0.00008020	0.00000000	0.00000001
5:Ins:R:4	0.00026187	0.00000215	0.00000674	0.00005050	0.00000000	0.00026281
5:Ins:R:5	0.00011983	0.00011563	0.00019055	0.00000989	0.00000011	0.00000019
2:Del:M:1	0.00119782	0.00017555	0.00491367	0.00390097	0.00018405	0.00000000
3:Del:M:1	0.00008190	0.00000055	0.00929034	0.00301133	0.00012799	0.00003899
3:Del:M:2	0.00147959	0.00294406	0.00430269	0.00154330	0.00072258	0.00069685
4:Del:M:1	0.00008380	0.00014700	0.00580955	0.00192772	0.00004886	0.00000003
4:Del:M:2	0.00014548	0.00055061	0.00159159	0.00329745	0.00000000	0.00001802
4:Del:M:3	0.00016068	0.00069357	0.00109834	0.00254408	0.01960071	0.00144243
5:Del:M:1	0.00000082	0.00062496	0.28072426	0.00003540	0.00235619	0.00000000
5:Del:M:2	0.00000000	0.00011771	0.12361016	0.00022124	0.00230840	0.00378952
5:Del:M:3	0.00000000	0.00005670	0.04613041	0.00057091	0.00313766	0.00118208
5:Del:M:4	0.00003880	0.00046284	0.01636726	0.00044831	0.00078945	0.00000004
5:Del:M:5	0.00066512	0.00236732	0.01281488	0.00000000	0.00046849	0.00000000
