MutationType	ID1	ID2	ID8	ID9	ID83E	ID83F
2:Ins:R:0	0.00040204	0.00033185	0.00191671	0.00116234	0.00000000	0.00012292
2:Ins:R:1	0.00000788	0.00027166	0.00166182	0.00210019	0.00065783	0.00015349
2:Ins:R:2	0.00022135	0.00103534	0.00030459	0.00076094	0.00134258	0.00012724
2:Ins:R:3	0.00051427	0.00038133	0.00017758	0.00035163	0.00000000	0.00011174
2:Ins:R:4	0.00291310	0.00197742	0.00001660	0.00003070	0.00000000	0.00000008
2:Ins:R:5	0.01812158	0.01363338	0.00176438	0.00000000	0.00000000	0.00000001
3:Ins:R:0	0.00000031	0.00005780	0.00066786	0.00025457	0.00000008	0.00000008
3:Ins:R:1	0.00025469	0.00122705	0.00067172	0.00082336	0.00041102	0.00062589
3:Ins:R:2	0.00004410	0.00021007	0.00013577	0.00011826	0.00000004	0.00000010
3:Ins:R:3	0.00016670	0.00000302	0.00003790	0.00000518	0.00000010	0.00000013
3:Ins:R:4	0.00008890	0.00014181	0.00012204	0.00001610	0.00000011	0.00000004
3:Ins:R:5	0.00124870	0.00186471	0.00003660	0.00000000	0.00182789	0.00058030
4:Ins:R:0	0.00000000	0.00001680	0.00077776	0.00016439	0.00000005	0.00000001
4:Ins:R:1	0.00074438	0.00120373	0.00110390	0.00071557	0.00021918	0.00024856
4:Ins:R:2	0.00007550	0.00001220	0.00007990	0.00004240	0.01621647	0.00000005
4:Ins:R:3	0.00015754	0.00013417	0.00000858	0.00002150	0.00000031	0.00000032
4:Ins:R:4	0.00031965	0.00024939	0.00020551	0.00000000	0.00000000	0.00000020
4:Ins:R:5	0.00100132	0.00219354	0.00088523	0.00000218	0.00193541	0.00000001
5:Ins:R:0	0.00000000	0.00000000	0.00031833	0.00016585	0.00028505	0.00000003
5:Ins:R:1	0.00144313	0.00013566	0.00976111	0.00125400	0.00085553	0.00042514
5:Ins:R:2	0.00025483	0.00000553	0.00010115	0.00010285	0.00000003	0.00000003
5:Ins:R:3	0.00023709	0.00009770	0.00007090	0.00008020	0.00000005	0.00014207
5:Ins:R:4	0.00026187	0.00000215	0.00000674	0.00005050	0.00006792	0.00000005
5:Ins:R:5	0.00011983	0.00011563	0.00019055	0.00000989	0.00000003	0.00000011
2:Del:M:1	0.00119782	0.00017555	0.00491367	0.00390097	0.00061142	0.00002605
3:Del:M:1	0.00008190	0.00000055	0.00929034	0.00301133	0.00006032	0.00000001
3:Del:M:2	0.00147959	0.00294406	0.00430269	0.00154330	0.00004117	0.00180708
4:Del:M:1	0.00008380	0.00014700	0.00580955	0.00192772	0.00000001	0.00132107
4:Del:M:2	0.00014548	0.00055061	0.00159159	0.00329745	0.00003528	0.00042419
4:Del:M:3	0.00016068	0.00069357	0.00109834	0.00254408	0.00000000	0.00048485
5:Del:M:1	0.00000082	0.00062496	0.28072426	0.00003540	0.00062932	0.00070469
5:Del:M:2	0.00000000	0.00011771	0.12361016	0.00022124	0.00043957	0.00000097
5:Del:M:3	0.00000000	0.00005670	0.04613041	0.00057091	0.00000000	0.00156149
5:Del:M:4	0.00003880	0.00046284	0.01636726	0.00044831	0.00000000	0.00117306
5:Del:M:5	0.00066512	0.00236732	0.01281488	0.00000000	0.00056551	0.00007464
